,name,url,country,Geography,Population (millions),Region,revision_id,article_quality
37,Ghulam Ghaus,https://en.wikipedia.org/wiki/Ghulam_Ghaus,Afghanistan,Afghanistan,41.1,SOUTH ASIA,1109361872,Stub
38,Ghulam Muhammad Ghobar,https://en.wikipedia.org/wiki/Ghulam_Muhammad_Ghobar,Afghanistan,Afghanistan,41.1,SOUTH ASIA,1108886395,Stub
39,Mohammad Gul (Helmand Council),https://en.wikipedia.org/wiki/Mohammad_Gul_(Helmand_Council),Afghanistan,Afghanistan,41.1,SOUTH ASIA,1092523687,Stub
40,Ghulam Haider Hamidi,https://en.wikipedia.org/wiki/Ghulam_Haider_Hamidi,Afghanistan,Afghanistan,41.1,SOUTH ASIA,1095018556,Start
41,Rangina Hamidi,https://en.wikipedia.org/wiki/Rangina_Hamidi,Afghanistan,Afghanistan,41.1,SOUTH ASIA,1104280812,C
42,Abdul Malik Hamwar,https://en.wikipedia.org/wiki/Abdul_Malik_Hamwar,Afghanistan,Afghanistan,41.1,SOUTH ASIA,1100874645,Stub
43,Sayed Zafar Hashemi,https://en.wikipedia.org/wiki/Sayed_Zafar_Hashemi,Afghanistan,Afghanistan,41.1,SOUTH ASIA,1112804808,Start
44,Qutbuddin Hilal,https://en.wikipedia.org/wiki/Qutbuddin_Hilal,Afghanistan,Afghanistan,41.1,SOUTH ASIA,1104423275,Start
45,Shahnaz Himmeti,https://en.wikipedia.org/wiki/Shahnaz_Himmeti,Afghanistan,Afghanistan,41.1,SOUTH ASIA,909966254,Stub
46,Anarkali Kaur Honaryar,https://en.wikipedia.org/wiki/Anarkali_Kaur_Honaryar,Afghanistan,Afghanistan,41.1,SOUTH ASIA,1069574154,Start
47,Mahboba Hoqomal,https://en.wikipedia.org/wiki/Mahboba_Hoqomal,Afghanistan,Afghanistan,41.1,SOUTH ASIA,1092518990,Stub
48,Musa Hotak,https://en.wikipedia.org/wiki/Musa_Hotak,Afghanistan,Afghanistan,41.1,SOUTH ASIA,1094201417,Start
