State_Tribe_Territory,County_Name,FIPS_State,FIPS_County,date,order_code,Face_Masks_Required_in_Public
MI,Macomb County,26,99,8/15/20,1,Yes
MI,Macomb County,26,99,8/16/20,1,Yes
MI,Macomb County,26,99,8/17/20,1,Yes
MI,Macomb County,26,99,8/18/20,1,Yes
MI,Macomb County,26,99,8/19/20,1,Yes
MI,Macomb County,26,99,8/20/20,1,Yes
MI,Macomb County,26,99,8/21/20,1,Yes
MI,Macomb County,26,99,8/22/20,1,Yes
MI,Macomb County,26,99,8/23/20,1,Yes
MI,Macomb County,26,99,8/24/20,1,Yes
MI,Macomb County,26,99,8/25/20,1,Yes
MI,Macomb County,26,99,8/26/20,1,Yes
MI,Macomb County,26,99,8/27/20,1,Yes
MI,Macomb County,26,99,8/28/20,1,Yes
MI,Macomb County,26,99,8/29/20,1,Yes
MI,Macomb County,26,99,8/30/20,1,Yes
MI,Macomb County,26,99,8/31/20,1,Yes
MI,Macomb County,26,99,9/1/20,1,Yes
MI,Macomb County,26,99,9/2/20,1,Yes
MI,Macomb County,26,99,9/3/20,1,Yes
MI,Macomb County,26,99,9/4/20,1,Yes
MI,Macomb County,26,99,9/5/20,1,Yes
MI,Macomb County,26,99,9/6/20,1,Yes
MI,Macomb County,26,99,9/7/20,1,Yes
MI,Macomb County,26,99,9/8/20,1,Yes
MI,Macomb County,26,99,9/9/20,1,Yes
MI,Macomb County,26,99,9/10/20,1,Yes
MI,Macomb County,26,99,9/11/20,1,Yes
MI,Macomb County,26,99,9/12/20,1,Yes
MI,Macomb County,26,99,9/13/20,1,Yes
MI,Macomb County,26,99,9/14/20,1,Yes
MI,Macomb County,26,99,9/15/20,1,Yes
MI,Macomb County,26,99,9/16/20,1,Yes
MI,Macomb County,26,99,9/17/20,1,Yes
MI,Macomb County,26,99,9/18/20,1,Yes
MI,Macomb County,26,99,9/19/20,1,Yes
MI,Macomb County,26,99,9/20/20,1,Yes
MI,Macomb County,26,99,9/21/20,1,Yes
MI,Macomb County,26,99,9/22/20,1,Yes
MI,Macomb County,26,99,9/23/20,1,Yes
MI,Macomb County,26,99,9/24/20,1,Yes
MI,Macomb County,26,99,9/25/20,1,Yes
MI,Macomb County,26,99,9/26/20,1,Yes
MI,Macomb County,26,99,9/27/20,1,Yes
MI,Macomb County,26,99,9/28/20,1,Yes
MI,Macomb County,26,99,9/29/20,1,Yes
MI,Macomb County,26,99,9/30/20,1,Yes
MI,Macomb County,26,99,10/1/20,1,Yes
MI,Macomb County,26,99,10/2/20,2,No
MI,Macomb County,26,99,10/3/20,2,No
MI,Macomb County,26,99,10/4/20,2,No
MI,Macomb County,26,99,10/5/20,1,Yes
MI,Macomb County,26,99,10/6/20,1,Yes
MI,Macomb County,26,99,10/7/20,1,Yes
MI,Macomb County,26,99,10/8/20,1,Yes
MI,Macomb County,26,99,10/9/20,1,Yes
MI,Macomb County,26,99,10/10/20,1,Yes
MI,Macomb County,26,99,10/11/20,1,Yes
MI,Macomb County,26,99,10/12/20,1,Yes
MI,Macomb County,26,99,10/13/20,1,Yes
MI,Macomb County,26,99,10/14/20,1,Yes
